listingPrice,listingType,marketStatus,conservationStatus,energyEfficiencyLevel,constructionYear,localZone,garage,garageSpots,floorAsNumber,elevator,totalRooms,numberOfBedrooms,numberOfBathrooms,totalArea,livingArea
305000.0,Apartamento,Novo para o Mercado,Usado,D,1974.0,Algés,False,0,3.0,False,4.0,3.0,2.0,112.0,105.0
975000.0,Terreno,Novo para o Mercado,Novo,NC,0.0,Carnaxide,False,0,,False,0.0,0.0,0.0,720.0,0.0
370000.0,Duplex,Novo para o Mercado,,F,1992.0,Paço De Arcos,False,0,3.0,False,5.0,4.0,2.0,103.0,95.0
2200000.0,Terreno,Novo para o Mercado,,NC,,Paço De Arcos,False,0,,,,,0.0,,
360000.0,Apartamento,Novo para o Mercado,Bom estado,D,1988.0,Oeiras,False,0,3.0,True,4.0,3.0,1.0,77.0,70.0
359000.0,Apartamento,Novo para o Mercado,Novo,D,1980.0,Linda A Velha,False,0,1.0,True,4.0,3.0,2.0,97.0,90.0
305000.0,Apartamento,Novo para o Mercado,Bom estado,D,1968.0,Algés,False,0,0.0,False,3.0,2.0,2.0,83.0,75.0
775000.0,Apartamento,Novo para o Mercado,Bom estado,C,2002.0,Oeiras,False,3,3.0,True,5.0,4.0,3.0,168.0,165.0
210000.0,Apartamento,Novo para o Mercado,,E,1972.0,Paço De Arcos,False,0,0.0,True,,0.0,1.0,29.0,29.0
1810000.0,Apartamento,Novo para o Mercado,Como novo,A,2019.0,Algés,False,3,1.0,True,5.0,4.0,4.0,236.0,202.0
535000.0,Apartamento,Novo para o Mercado,,D,1987.0,Paço De Arcos,False,1,6.0,True,,3.0,2.0,133.0,120.0
35000.0,Garagem,Novo para o Mercado,,NC,1994.0,Carnaxide,False,0,,,,,0.0,20.0,16.0
467500.0,Apartamento,Novo para o Mercado,,D,1992.0,Linda A Velha,True,1,5.0,True,4.0,3.0,2.0,114.0,103.0
450000.0,Apartamento,Novo para o Mercado,,B-,2008.0,Carnaxide,False,2,2.0,True,4.0,3.0,2.0,115.0,99.0
